rank,lemma,pos,hebrew,english,example_sentence,lesson_introduced,tier
381,bilgi,n,מידע/ידע,information/knowledge,"Bilgi edindim.",L03-05,2
382,haber,n,חדשות,news,"Haberleri izledim.",L02-06,2
383,toplum,n,חברה,society,"Toplum değişiyor.",L04-05,2
384,toplantı,n,פגישה/אסיפה,meeting,"Toplantıya gidiyorum.",L04-02,2
385,ilişki,n,יחסים/קשר,relationship,"İyi bir ilişki.",L04-05,2
386,bağlantı,n,חיבור/קשר,connection,"İnternet bağlantısı yok.",L04-08,2
387,etki,n,השפעה,effect/influence,"Büyük bir etki.",L04-08,2
388,değer,n,ערך,value,"Büyük bir değer.",L04-05,2
389,anlam,n,משמעות,meaning,"Anlamı ne?",L03-02,2
390,örnek,n,דוגמה,example,"Bir örnek ver.",L03-05,2
391,süre,n,משך זמן,duration,"Uzun bir süre.",L03-05,2
392,dönem,n,תקופה,period/term,"Bu dönemde.",L04-05,2
393,yüzyıl,n,מאה (תקופה),century,"Yirmi birinci yüzyıl.",L04-08,2
394,gelecek,n/adj,עתיד,future,"Gelecek güzel olacak.",L03-08,2
395,geçmiş,n/adj,עבר,past,"Geçmişi düşünme.",L03-08,2
396,bugün,adv,היום,today,"Bugün ne yapıyorsun?",L01-05,2
397,yarın,adv,מחר,tomorrow,"Yarın görüşürüz.",L01-06,2
398,dün,adv,אתמול,yesterday,"Dün ne yaptın?",L01-08,2
399,hafta,n,שבוע,week,"Bu hafta meşgulüm.",L01-07,2
400,ay,n,חודש/ירח,month/moon,"Bu ay tatildeyim.",L01-07,2
